                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
186                                           jnainani_umass_edu        247           80.000000      1252.363056       1.0                      0.014128                      7.886249e-05
358                                       skamedaalmeida_uri_edu         31           80.000000       104.584722       1.0                      0.169680                      7.909389e-05
263                                       mteymoorianf_umass_edu        117           78.974359       650.570556       1.0                      0.027608                      8.005274e-05
28                                             amalali_umass_edu       1166           79.382504      4307.433611       1.0                      0.004213                      8.089044e-05
420                                            vishalg_umass_edu        157           80.000000       770.553056       1.0                      0.023768                      8.162941e-05
151                                           hheickal_umass_edu          7           80.000000        46.374722       1.0                      0.397125                      8.208318e-05
330                                        rrajendhran_umass_edu         63           80.000000        72.262222       1.0                      0.254920                      8.210321e-05
39                                           ansharora_umass_edu         81           79.012346       230.118611       1.0                      0.080569                      8.263556e-05
451                                          yubozhang_umass_edu        114           77.894737       619.266667       1.0                      0.030830                      8.509223e-05
441                                           yaxinzhu_umass_edu          8           80.000000        64.043611       1.0                      0.306205                      8.740444e-05
397                                           syerawar_umass_edu         43           80.000000       188.082778       1.0                      0.104632                      8.771228e-05
20                                         aeyanashraf_umass_edu          9           80.000000        30.100833       1.0                      0.656630                      8.809359e-05
179                                         jiagengliu_umass_edu         98           78.775510       393.388333       1.0                      0.050418                      8.840071e-05
147                                        haotianyuan_umass_edu         23           80.000000       105.755000       1.0                      0.188230                      8.872262e-05
162                                           hzheng1_umassd_edu        503           76.739563      2082.875278       1.0                      0.009894                      9.185139e-05
375                                       srprabhanjan_umass_edu         24           63.333333       129.781944       1.0                      0.159753                      9.240753e-05
274                                           nkotturu_umass_edu         17           80.000000        56.342500       1.0                      0.368687                      9.258458e-05
105                                          delinchen_umass_edu         35           80.000000       179.745556       1.0                      0.115638                      9.264147e-05
465                                   zhoulin-qc-group_umass_edu         22           80.000000       126.893333       1.0                      0.171029                      9.672830e-05
33                                        amungalpara_umassd_edu         51           80.000000       274.548889       1.0                      0.079089                      9.677935e-05
224                                              mbumb_umass_edu         12           80.000000        88.725833       1.0                      0.247430                      9.784717e-05
77                                          brozonoyer_umass_edu          8           80.000000        23.160278       1.0                      0.956357                      9.872090e-05
356                                           siqichen_umass_edu        180           78.444444      1390.553611       1.0                      0.015941                      9.879768e-05
100                                           damien_lee_uri_edu         11           80.000000        88.032500       1.0                      0.259583                      1.018509e-04
