                                                            User  Job_Count  Avg_Allocated_VRAM  Total_GPU_Hours  Avg_GPUs  Avg_Weighted_VRAM_Efficiency  Weighted_Efficiency_Contribution
351                                             smohan_umass_edu         30           74.666667       110.797778       1.0                      0.128119                      6.427124e-05
188                                             jsinha_umass_edu         40           80.000000       191.403333       1.0                      0.074930                      6.493461e-05
182                                         jmhamilton_umass_edu        555           75.891892      1130.301111       1.0                      0.012898                      6.600781e-05
95                                        csanarpalaya_umass_edu          7           80.000000         8.758333       1.0                      1.664757                      6.601525e-05
210                                         lclawrence_umass_edu        216           80.000000       551.216111       1.0                      0.026547                      6.625359e-05
35                                              anaseh_umass_edu        305           77.245902      1950.669167       1.0                      0.007504                      6.627059e-05
316                                             rgshah_umass_edu        162           77.283951       868.862500       1.0                      0.016902                      6.649258e-05
60                                              awyuan_umass_edu          8           80.000000        10.566111       1.0                      1.404735                      6.720192e-05
389                                          tchafekar_umass_edu         57           78.596491       213.862778       1.0                      0.069549                      6.734344e-05
233                                          mhudspeth_umass_edu         21           80.000000        96.272500       1.0                      0.156920                      6.839961e-05
265                                          niraj_bhatt_uri_edu         58           80.000000       874.105833       1.0                      0.017364                      6.871923e-05
177                                  jiali_cheng_student_uml_edu        409           79.804401      1106.140278       1.0                      0.014143                      7.083032e-05
332                                         schanumolu_umass_edu          6           80.000000        42.020278       1.0                      0.377683                      7.185520e-05
183                                           jnainani_umass_edu        240           80.000000      1202.290278       1.0                      0.013353                      7.268499e-05
377                                          sunlichen_umass_edu         21           80.000000        60.097778       1.0                      0.274726                      7.475335e-05
328                                             samini_umass_edu        221           77.647059      1416.023333       1.0                      0.011712                      7.509015e-05
283                                          oyilmazel_umass_edu          5           80.000000        19.190833       1.0                      0.868435                      7.545761e-05
81                                             cbagchi_umass_edu          8           80.000000        46.320000       1.0                      0.363464                      7.622586e-05
28                                             amalali_umass_edu       1081           79.333950      4049.217222       1.0                      0.004193                      7.686844e-05
347                                       skamedaalmeida_uri_edu         31           80.000000       104.584722       1.0                      0.169680                      8.034702e-05
256                                       mteymoorianf_umass_edu        117           78.974359       650.570556       1.0                      0.027608                      8.132107e-05
408                                            vishalg_umass_edu        157           80.000000       770.553056       1.0                      0.023768                      8.292272e-05
176                                         jiagengliu_umass_edu         92           78.695652       371.371389       1.0                      0.049585                      8.337339e-05
148                                           hheickal_umass_edu          7           80.000000        46.374722       1.0                      0.397125                      8.338368e-05
321                                        rrajendhran_umass_edu         63           80.000000        72.262222       1.0                      0.254920                      8.340402e-05
39                                           ansharora_umass_edu         81           79.012346       230.118611       1.0                      0.080569                      8.394480e-05
438                                          yubozhang_umass_edu        114           77.894737       619.266667       1.0                      0.030830                      8.644040e-05
428                                           yaxinzhu_umass_edu          8           80.000000        64.043611       1.0                      0.306205                      8.878924e-05
20                                         aeyanashraf_umass_edu          9           80.000000        30.100833       1.0                      0.656630                      8.948930e-05
144                                        haotianyuan_umass_edu         23           80.000000       105.755000       1.0                      0.188230                      9.012831e-05
385                                           syerawar_umass_edu         38           80.000000       177.464444       1.0                      0.115370                      9.269887e-05
159                                           hzheng1_umassd_edu        503           76.739563      2082.875278       1.0                      0.009894                      9.330665e-05
364                                       srprabhanjan_umass_edu         24           63.333333       129.781944       1.0                      0.159753                      9.387160e-05
267                                           nkotturu_umass_edu         17           80.000000        56.342500       1.0                      0.368687                      9.405146e-05
103                                          delinchen_umass_edu         35           80.000000       179.745556       1.0                      0.115638                      9.410924e-05
451                                   zhoulin-qc-group_umass_edu         22           80.000000       126.893333       1.0                      0.171029                      9.826082e-05
33                                        amungalpara_umassd_edu         51           80.000000       274.548889       1.0                      0.079089                      9.831269e-05
76                                          brozonoyer_umass_edu          8           80.000000        23.160278       1.0                      0.956357                      1.002850e-04
345                                           siqichen_umass_edu        180           78.444444      1390.553611       1.0                      0.015941                      1.003630e-04
98                                            damien_lee_uri_edu         11           80.000000        88.032500       1.0                      0.259583                      1.034646e-04
174                                         jiabenchen_umass_edu         15           77.333333        99.980556       1.0                      0.229981                      1.041068e-04
447                                        zhehuanchen_umass_edu         87           79.540230       356.329722       1.0                      0.064920                      1.047371e-04
421                                         xiaowenqiu_umass_edu        114           78.596491       518.199167       1.0                      0.044759                      1.050133e-04
440                                        yuefengpeng_umass_edu        451           78.669623      2527.133056       1.0                      0.009668                      1.106265e-04
102                                          debrupdas_umass_edu         24           80.000000       138.764722       1.0                      0.177289                      1.113864e-04
261                                           ngultran_umass_edu        161           79.503106      1016.785556       1.0                      0.024657                      1.135113e-04
37                                           anijasure_umass_edu         80           80.000000       649.351944       1.0                      0.039510                      1.161611e-04
128                                              elobo_umass_edu       2368           79.391892      8661.152222       1.0                      0.003035                      1.190185e-04
311                                        qinhongzhou_umass_edu        431           77.679814      1416.728056       1.0                      0.018914                      1.213257e-04
59                                            avbagchi_umass_edu         28           80.000000       174.753889       1.0                      0.155656                      1.231584e-04
431                                           yianwang_umass_edu        656           79.573171      3470.649444       1.0                      0.007890                      1.239833e-04
160                                             hzhu2_umassd_edu        136           79.705882      1198.657222       1.0                      0.022862                      1.240767e-04
13                                            abhinavs_umass_edu         15           80.000000        95.665556       1.0                      0.289133                      1.252350e-04
153                                       hongxinzhang_umass_edu        411           78.345499      2125.331111       1.0                      0.013034                      1.254238e-04
323                                       rseetharaman_umass_edu          7           80.000000        45.212222       1.0                      0.620598                      1.270394e-04
125                                         eaghazadeh_umass_edu        149           77.315436       627.686944       1.0                      0.049390                      1.403633e-04
387                                       tanyachowdhu_umass_edu         27           80.000000       111.309167       1.0                      0.278777                      1.404946e-04
274                                       odanielskoch_umass_edu         13           64.615385        24.447222       1.0                      1.285050                      1.422400e-04
214                                         lixingfang_umass_edu        114           75.789474       402.917222       1.0                      0.078256                      1.427591e-04
418                                            wuaoliu_umass_edu        230           80.000000      1138.318333       1.0                      0.028336                      1.460401e-04
178                                           jinhuang_umass_edu         44           80.000000        94.851944       1.0                      0.340123                      1.460679e-04
310                                            pvinod_umassd_edu         68           80.000000       549.724444       1.0                      0.060578                      1.507759e-04
173                                       jeongyeob_chae_uri_edu         26           80.000000       125.743611       1.0                      0.265877                      1.513693e-04
67                                          bcallaghan_umass_edu         18           80.000000        59.791389       1.0                      0.575976                      1.559247e-04
19                                              acpham_umass_edu         46           59.130435       119.772778       1.0                      0.295424                      1.602048e-04
314                                            rdaroya_umass_edu        532           79.548872      1243.656389       1.0                      0.029071                      1.636966e-04
419                                            wuzhexu_umass_edu        149           80.000000      1315.088889       1.0                      0.028289                      1.684370e-04
271                                            nperla_umassd_edu        218           80.000000      1250.332500       1.0                      0.030784                      1.742713e-04
245                                          mnakamura_umass_edu         30           80.000000       566.828611       1.0                      0.069451                      1.782387e-04
404                                            vbandi_umassd_edu         28           80.000000       224.126111       1.0                      0.177906                      1.805328e-04
281                                              osaha_umass_edu        325           79.753846      2297.025278       1.0                      0.017381                      1.807672e-04
161                                           ideznabi_umass_edu        124           80.000000       974.728333       1.0                      0.041884                      1.848413e-04
